IsoWeeks,flu,flue,bronchitis,chest infection,colds,pleurisy,sinusitis,tonsilitis,Disease Rate
Iso Week 23,0.0,391.52276980671104,301.97991042057856,0.0,0.0,94.41195790929277,108.70854178667308,93.27531498958017,2.291913366
Iso Week 24,291.7555743726358,100.58190749414968,201.13599220846115,194.79583012228417,0.0,0.0,196.7689380844562,109.7264966979761,2.191497681
Iso Week 25,477.4388824703883,0.0,292.2523734186466,101.01511018864248,226.6091929174434,0.0,209.89539045566943,95.92625780038614,2.076014421
Iso Week 26,106.16717082697696,407.6119033455613,0.0,0.0,311.70439697797286,0.0,101.63787334234046,615.2809534966738,2.34204927
Iso Week 27,292.5084194657492,195.4507473894866,115.5873367709839,0.0,309.3508409692949,0.0,96.83364480787296,0.0,1.82596654
Iso Week 28,311.95706238249807,0.0,100.47441692122024,206.99753386789163,0.0,97.31834836118404,95.6182234520206,307.7674414212529,2.128123687
Iso Week 29,396.06563320683927,202.8657595768695,305.79474201923506,103.51972368588174,194.1127729641182,0.0,295.0830549755527,202.47051641353028,3.262025457
Iso Week 30,140.46009018346186,350.4824818044729,315.32695236413764,189.0029694060482,214.2676426054491,0.0,217.46501856655013,0.0,2.014401242
Iso Week 31,489.2612200723416,292.10605425332454,0.0,0.0,286.3669132266384,0.0,99.8062318548625,199.65516175357456,2.353742834
Iso Week 32,93.16384313587132,388.0739482116748,96.78456307850615,204.97138679453477,95.39504298021755,0.0,190.96674029616807,97.88239140386624,2.260050982
Iso Week 33,491.7068419458975,103.10370791043644,0.0,0.0,0.0,93.44874453361338,0.0,92.42792472196012,1.810522758
Iso Week 34,403.1482197531269,97.74845517208992,97.1092130931066,0.0,205.80312093307788,99.33811577025506,297.0759216190642,100.63057493043269,1.250256005
Iso Week 35,0.0,334.33201105799947,0.0,0.0,220.0427499895148,0.0,99.04776458764825,0.0,1.287526019
Iso Week 36,323.82613881507024,432.88960080921214,0.0,105.02415661046334,0.0,0.0,312.498057248033,0.0,1.703135296
Iso Week 37,532.8948295437212,418.06737803280976,0.0,0.0,99.33864170355038,0.0,102.69802589162548,0.0,2.313717557
Iso Week 38,308.5006708336561,198.14855333125567,306.4434820674431,197.02238861264385,0.0,101.20257174885462,97.89761728457589,196.0820179440844,3.13514671
Iso Week 39,405.7043660032053,205.89617088456131,109.2300543258172,0.0,96.57433407489408,98.95668475968594,297.5321750778848,206.71963117935175,4.894212186
Iso Week 40,0.0,202.5990973613065,0.0,98.85264889630916,395.6132149598419,98.93499176224452,0.0,0.0,5.711558154
Iso Week 41,508.9754735691764,548.8917227241756,204.46148070783303,0.0,200.2577226055715,110.4753060953278,413.2362909348079,0.0,6.476834805
Iso Week 42,598.7847055408189,184.99798428265763,107.22098996174134,0.0,0.0,380.5132896720089,0.0,200.35525570884496,7.296121185
Iso Week 43,194.75839203778492,724.310374824002,166.3242279679344,0.0,99.51136454567674,0.0,180.7938598334831,261.39269199411103,5.955189225
Iso Week 44,760.978884724468,446.5564281988868,0.0,0.0,181.38863435500616,99.03293525459397,91.60902370378008,0.0,6.066208331
Iso Week 45,543.6641579312142,356.1876773620853,85.37834715620453,0.0,168.30641771903902,0.0,173.66599421987078,0.0,6.569480613
Iso Week 46,519.6729144438867,763.6177337434682,128.14234400813967,85.25428928842584,179.94930568349432,83.33287071581323,168.46254631422087,128.16024498990427,6.870510908
Iso Week 47,839.8011366058319,818.9365600493177,0.0,257.04581098203295,0.0,167.24130632709907,81.13091728345253,0.0,7.048726596
Iso Week 48,831.7856391285812,346.48736749821484,259.4457753402599,0.0,79.94285139487106,165.46496740979563,173.90537811388734,0.0,6.582247452
Iso Week 49,1204.882947352446,588.6615561327886,0.0,254.166579694496,322.3183020788956,334.44005225148004,249.0618958159203,256.1391643103961,8.309272243
Iso Week 50,1632.3421348591366,420.1451853473339,174.51071733192424,0.0,0.0,84.78067374190509,81.38474125397818,169.56134745028749,9.217719154
Iso Week 51,1040.7892732107016,506.7573953133832,86.93573109298397,0.0,0.0,179.92971366298585,87.74392342711614,0.0,12.98800869
Iso Week 52,827.816463827808,79.4306690620343,329.6404391079051,0.0,317.174949475822,0.0,171.52160265801783,170.9975006013051,14.83888886
Iso Week 53,762.2861292961094,304.11076295521,82.18977650643876,170.533356121625,0.0,163.73140761041512,227.46551192262956,0.0,14.49718197
Iso Week 54,891.5583919160766,624.7219276012098,302.68586029769324,0.0,152.5175009592302,304.0432686133469,152.73944342344956,223.9924615846344,23.64962367
Iso Week 55,762.2628289993124,437.9792809392179,153.0941338190214,470.92395065558,0.0,74.86463773372051,0.0,78.194749403847,24.30192157
Iso Week 56,878.4161470790672,321.73173727028285,316.46985425866654,0.0,366.90767176370855,74.47452238785719,474.6258359229778,237.57130577997677,17.42143527
Iso Week 57,772.1268469871864,477.0972783133541,479.8557219136487,74.88782806441183,157.71599176192836,143.10179996382234,75.33896401762102,0.0,20.59031139
Iso Week 58,414.3527083065932,233.81317504873667,493.6524665908268,79.88925450429629,302.21549141569506,0.0,168.33286284249235,392.4059966352879,21.59427443
Iso Week 59,1126.4340251856545,159.61906901550242,318.3056245112122,165.84142195747108,424.7500526320383,84.71667599064413,355.50308003959407,0.0,20.67504006
Iso Week 60,651.6313959733859,515.9459686222998,285.44183661766084,308.70285916528235,284.77667400275334,479.599118208653,93.2132841046545,101.07701463327427,15.99726613
Iso Week 61,1056.8709577784953,243.4780737767161,0.0,380.91641697757865,340.5926652240413,511.5306742369904,371.217388177919,163.6594073663236,16.2119585
Iso Week 62,1822.551537657264,625.0860017688532,350.7273117194027,482.9894255454301,0.0,778.295646857929,877.1345340063817,656.4355187274222,17.58688794
Iso Week 63,862.966692071943,274.3716516301825,0.0,133.20244573079893,73.36142453386893,77.1863015404925,333.68395238861405,209.33827005495328,18.2904103
Iso Week 64,964.7137837749984,329.92029339276417,283.93876776660306,120.34018599847502,242.20440946756932,142.497285619767,0.0,281.12538458321814,16.28517752
Iso Week 65,429.0490727666526,209.30490214933005,374.0800197910326,69.6172642141696,201.43033747482767,201.68181091736005,136.1591482208783,69.22239827738036,13.35789351
Iso Week 66,793.4516553962454,267.1464152205545,200.03579352202087,69.49242520711604,343.42462190788564,418.2986943094913,76.11830373891567,143.7257389422346,9.69120956
Iso Week 67,984.2850317204562,363.1469490654248,547.2483480558201,133.93208153642595,131.69169864433965,75.66303711157153,380.8694495756002,133.18442178004747,6.31071599
Iso Week 68,732.8359914362863,519.9429635721879,70.56569665659191,134.6859847381434,70.5825631182078,65.78786083529,254.5190266930692,252.6567037953924,6.8340848
Iso Week 69,635.2409808472346,268.20103684962754,358.87059870379187,125.29458045642863,0.0,199.5572193419189,147.3731682652011,73.47245250697601,4.677054988
Iso Week 70,1204.9968359763504,288.4446571808203,493.9567766091287,73.45913918440951,201.6889699815802,64.29912065475519,0.0,182.64450771605289,4.478521013
