IsoWeeks,cold flu,flu,flu symptoms,flue,bronchitis,chest infection,colds,laryngitis,pleurisy,sinusitis,gastric flu,sinuses,tonsilitis,Disease Rate
Iso Week 79,0.0,410.68610531913873,71.38733874263473,71.29817886838744,66.53899659905207,70.5309389165151,311.45851300628703,0.0,0.0,134.65735630015234,0.0,0.0,193.57214185474805,1.507553681
Iso Week 80,0.0,328.8837896185526,0.0,277.6809014846784,265.93244010887616,355.31816020682663,259.2926648837793,73.24042577678733,61.66925502653827,0.0,73.85417519032947,61.90041844707973,183.55112301004024,1.775684125
Iso Week 81,115.5584358770416,598.6102027421987,76.015032928387,448.67212129222713,312.8800656514226,128.34550702615311,64.83073047474754,0.0,187.34418521006975,244.64665474271385,0.0,64.57372459134999,137.03256199529605,2.278358443
Iso Week 82,0.0,553.5850177820106,125.37882169118804,192.3513836572192,254.35547107946195,298.1074167994815,62.05673890468879,62.39035278323086,61.36488290030356,64.06554317075776,0.0,169.5850155065635,126.43706301493695,1.743112816
Iso Week 83,107.55766905503744,453.86190026836266,186.56667544968005,251.80334225791225,132.68190963432485,60.43439289586846,63.30382320028246,60.87787271528789,0.0,124.1991046779631,69.16167318956388,109.30942245897884,0.0,2.35155521
Iso Week 84,0.0,540.7143931756078,179.31212889590526,371.09613151412486,242.84457610240105,58.9672206761503,63.148366602393416,0.0,0.0,127.44540332271264,64.7718796375428,0.0,177.83419911579475,1.884940921
Iso Week 85,0.0,565.1544646131357,0.0,0.0,416.9260739882172,292.1239198365739,121.83456205537414,61.32232458835263,62.42340498632694,0.0,0.0,0.0,290.3858672785495,2.414813251
Iso Week 86,59.65681988191563,389.0103701016947,66.31891335043788,245.72991446713093,58.69198808673842,0.0,64.97075148311374,0.0,0.0,122.89437494195602,65.90545375946134,59.57308320183714,262.5053648960804,2.219831634
Iso Week 87,0.0,300.64410754491536,0.0,174.71617332276554,199.04657837943856,66.80046879217336,388.1848664345497,211.0791649105359,250.40015698971595,176.41806749615566,0.0,0.0,136.86410830088477,2.677292289
Iso Week 88,0.0,625.3231087872412,0.0,319.2016736784211,255.03806399550948,155.12591329775162,63.52709204767706,107.26761523634006,0.0,59.49680684014444,0.0,65.39368675071714,65.36650733173204,2.743333699
Iso Week 89,0.0,666.7528990194678,121.08583579010131,171.7491849652899,122.87205814033456,231.0668110670069,0.0,0.0,62.32581494869618,291.1671481812798,0.0,0.0,171.65617547405594,2.75502694
Iso Week 90,65.2724391116078,394.63723610044286,66.2278362119245,126.30607165511368,0.0,133.76034875737108,0.0,65.3897982836937,70.76861609107473,61.88656570481884,0.0,0.0,137.06403826219093,2.051741501
Iso Week 91,0.0,423.522966743794,123.87148540614308,131.6268947127874,249.3326316756608,0.0,188.1689044276661,0.0,67.77668654909239,67.58124143957427,120.7014438048716,0.0,255.3491848727054,2.648425962
Iso Week 92,59.76550919910314,561.3705507695826,130.4380429604757,319.84765147044624,186.0642112179808,119.13949282006116,132.83270353629433,0.0,0.0,122.83556619793583,0.0,0.0,157.5984133398972,4.501560541
Iso Week 93,59.59341928953496,449.4617643046496,0.0,179.24556888331117,61.41205237425523,0.0,70.32829096648877,131.9363712831046,0.0,189.54745283359532,0.0,130.8489449096838,59.61528982563989,5.468395711
Iso Week 94,0.0,325.6330675709156,63.76656664292513,357.62250702104353,63.68722208395149,127.08450597310602,63.68722208395149,0.0,127.24316322642343,131.7967312798209,0.0,64.86863614185266,0.0,7.554528091
Iso Week 95,60.70347872401662,1147.4386819897795,62.10260545000377,390.5517352691453,123.11388636387508,0.0,70.57544372754207,125.17129932813894,191.7598171619029,120.80398585070792,0.0,0.0,0.0,7.299274079
Iso Week 96,0.0,478.2017078921704,63.26921186396147,123.37191925142182,128.72520911289232,253.80379317897405,63.42376746223603,0.0,91.72679321977456,129.33378925340176,0.0,63.1864184339066,230.68948039875048,6.488352326
Iso Week 97,63.83246118143159,733.0039413559678,0.0,235.613336591621,137.83496683447487,0.0,127.78610052694611,117.61342385186512,0.0,137.39217147889056,0.0,0.0,210.8463907325909,6.468924008
